Rainfall,Slope,Slope/Rainfall,Flood Intensity
1.536641092,221.776418,144.3254506,1
1.561918624,231.4493909,148.1827461,1
1.81739053,223.4048024,122.9261398,1
1.664634055,224.7062846,134.9883982,1
1.402819264,212.4573536,151.4502681,1
1.486191263,206.9742457,139.2648785,1
1.427767424,211.7015707,148.2745488,1
22.70820287,198.0993108,8.723689494,1
1.843975632,223.5978977,121.2585968,1
0.915585266,220.3899673,240.7093861,1
1.419923385,206.5256639,145.4484559,1
0.912069691,232.4506949,254.8606727,1
2.193341182,204.5454337,93.25746284,2
2.414341613,230.0552497,95.28695048,2
1.82736781,209.5309078,114.6626895,2
2.078156147,230.3878265,110.8616534,2
1.970236176,213.3693195,108.2963159,2
2.400971002,232.8113729,96.96550802,2
2.529609054,203.5966686,80.48542848,2
3.264200259,204.908485,62.77448341,3
2.786657313,199.31884,71.52613963,3
3.657149178,215.8815618,59.03001253,3
3.091335293,215.1246462,69.58955461,3
2.572726816,203.6142285,79.14335374,3
2.958924382,220.641593,74.56817564,3
3.569035617,213.5065721,59.82192249,3
3.272399283,201.8469299,61.68163248,3
2.763594657,209.6046346,75.84492685,3
3.277674731,229.9243622,70.14862091,3
3.041786095,227.4189893,74.7649513,3
2.970683205,217.0423455,73.06142408,3
3.782540313,209.4928267,55.38416232,3
6.459528982,203.3128597,31.47487382,4
7.220084763,223.1666078,30.90913958,4
5.554329098,220.1598672,39.63752657,4
4.696563907,203.7533024,43.38348341,4
6.996814731,231.86718,33.13896236,4
6.656840408,219.3038929,32.94414159,4
4.520183885,222.5975915,49.24525133,4
5.742972231,221.6465245,38.59439252,4
5.398988423,205.3730353,38.03916942,4
3.926358548,213.710114,54.42959714,4
6.703830498,219.6144362,32.75954491,4
4.39959464,199.8572895,45.42629626,4
4.826408945,212.7586734,44.08218944,4
6.129753114,228.6897198,37.3081453,4
6.834423473,205.2514598,30.03200791,4
6.632940611,232.0448572,34.98370795,4
3.813691966,199.8227459,52.39614202,4
4.325763685,206.4893734,47.73477898,4
6.022697166,230.2247406,38.22618575,4
6.295582904,213.9579242,33.98540333,4
4.566411978,209.2162541,45.81633351,4
4.421039696,222.0978461,50.23656456,4
5.292011167,224.4629647,42.41543671,4
7.366598697,216.3348876,29.36699778,5
8.340648201,220.5638514,26.44444965,5
7.681912865,202.7583574,26.39425374,5
